repo,path,kind,category,systems,lines,local_import_count,local_imports,endpoints
Cocolon,.env.subscription.public.example,support,env_ignore,,,0,,
Cocolon,.gitignore,support,env_ignore,,,0,,
Cocolon,App.js,runtime,root_runtime,app_root,1918,39,AuthContext.js | AuthScreen.js | SubscriptionContext.js | TutorialContext.js | UnreadContext.js | components/UnreadBadge.js | lib/apiClient.js | lib/iap/iapService.js | lib/pushToken.js | lib/supabase.ts | lib/user.ts | screens/AccountScreen.js,/account/profile/me | /app/bootstrap | /app/startup | /emotion-log/feed | /emotion-log/unread-status | /emotion-log/unread/read-feed | /mymodel/qna/unread-status | /myprofile/latest/status | /myweb/reports/ensure
Cocolon,AuthContext.js,runtime,root_runtime,app_root,563,1,lib/supabase.ts,
Cocolon,AuthScreen.js,runtime,root_runtime,,489,1,AuthContext.js,
Cocolon,README.md,support,repo_doc,,,0,,
Cocolon,SUBSCRIPTION_RELEASE_PHASE3.md,support,repo_doc,,,0,,
Cocolon,SUBSCRIPTION_RELEASE_PHASE4.md,support,repo_doc,,,0,,
Cocolon,SubscriptionContext.js,runtime,root_runtime,app_root,402,3,lib/iap/iapRuntimeCatalog.js | lib/subscriptionApi.js | lib/supabase.ts,
Cocolon,TutorialContext.js,runtime,root_runtime,app_root,313,1,lib/supabase.ts,
Cocolon,TutorialOverlay.js,runtime,root_runtime,,494,1,UNRESOLVED:../theme/ThemeContext,
Cocolon,UnreadContext.js,runtime,root_runtime,app_root,782,0,,
Cocolon,babel.config.js,support,config,,5,0,,
Cocolon,components/CocolonBackButton.js,component,shared_component,shared_ui,79,1,theme/ThemeContext.js,
Cocolon,components/CocolonButton.js,component,shared_component,shared_ui,169,2,theme/ThemeContext.js | ui/uiTokens.js,
Cocolon,components/CocolonPressable.js,component,shared_component,shared_ui,98,2,theme/ThemeContext.js | ui/uiTokens.js,
Cocolon,components/CocolonSwitch.js,component,shared_component,shared_ui,28,0,,
Cocolon,components/Collapsible.tsx,component,shared_component,shared_ui,46,0,,
Cocolon,components/EmotionReflectionPreviewModal.js,component,shared_component,input_home|shared_ui,229,4,theme/ThemeContext.js | ui/applyTypographyTokens.js | ui/uiTokens.js | components/CocolonButton.js,
Cocolon,components/ExternalLink.tsx,component,shared_component,shared_ui,25,0,,
Cocolon,components/GuideRichText.js,component,shared_component,shared_ui,174,1,theme/ThemeContext.js,
Cocolon,components/GuideTermModal.js,component,shared_component,shared_ui,302,1,theme/ThemeContext.js,
Cocolon,components/HapticTab.tsx,component,shared_component,shared_ui,19,0,,
Cocolon,components/HelloWave.tsx,component,shared_component,shared_ui,41,0,,
Cocolon,components/NoticeModal.js,component,shared_component,input_home|shared_ui,313,4,lib/noticeActionRuntime.js | theme/ThemeContext.js | components/CocolonButton.js | components/NoticeRichText.js,
Cocolon,components/NoticeRichText.js,component,shared_component,input_home|shared_ui,57,1,lib/noticeActionRuntime.js,
Cocolon,components/ParallaxScrollView.tsx,component,shared_component,shared_ui,83,0,,
Cocolon,components/ThemedText.tsx,component,shared_component,shared_ui,61,0,,
Cocolon,components/ThemedView.tsx,component,shared_component,shared_ui,15,0,,
Cocolon,components/TodayQuestionCard.js,component,shared_component,input_home|shared_ui,381,3,theme/ThemeContext.js | components/CocolonButton.js | components/CocolonPressable.js,
Cocolon,components/TodayQuestionModal.js,component,shared_component,input_home|shared_ui,96,2,theme/ThemeContext.js | components/TodayQuestionCard.js,
Cocolon,components/TutorialOverlay.js,component,shared_component,shared_ui,1227,1,theme/ThemeContext.js,
Cocolon,components/TutorialStartModal.js,component,shared_component,shared_ui,203,2,theme/ThemeContext.js | components/CocolonButton.js,
Cocolon,components/UnreadBadge.js,component,shared_component,shared_ui,58,1,theme/ThemeContext.js,
Cocolon,components/selfStructure/SelfStructureDeepRenderer.js,component,shared_component,shared_ui,624,1,ui/applyTypographyTokens.js,
Cocolon,components/ui/IconSymbol.ios.tsx,component,shared_component,shared_ui,33,0,,
Cocolon,components/ui/IconSymbol.tsx,component,shared_component,shared_ui,42,0,,
Cocolon,components/ui/TabBarBackground.ios.tsx,component,shared_component,shared_ui,20,0,,
Cocolon,components/ui/TabBarBackground.tsx,component,shared_component,shared_ui,7,0,,
Cocolon,crash_log.txt,support,text_support,,,0,,
Cocolon,eslint.config.js,support,config,,11,0,,
Cocolon,expo-env.d.ts,support,config,,3,0,,
Cocolon,guide/guidesJa.js,guide,guide_dictionary,guide,258,1,guide/termsJa.js,
Cocolon,guide/termsJa.js,guide,guide_dictionary,guide,231,0,,
Cocolon,index.js,runtime,root_runtime,app_root,81,2,App.js | UNRESOLVED:./app.json,
Cocolon,lib/accountLocalCleanup.js,lib,service_lib,client_service,26,1,lib/inputDraftStorage.js,
Cocolon,lib/apiClient.js,lib,service_lib,client_service,217,1,lib/supabase.ts,
Cocolon,lib/emotionReflectionApi.js,lib,service_lib,client_service,18,1,lib/apiClient.js,/emotion/reflection/cancel | /emotion/reflection/preview | /emotion/reflection/publish | /emotion/reflection/quota
Cocolon,lib/historyRetentionLabel.js,lib,service_lib,client_service,55,0,,
Cocolon,lib/iap/iapConfig.js,lib,iap,client_service,182,0,,
Cocolon,lib/iap/iapRuntimeCatalog.js,lib,iap,client_service,474,1,lib/iap/iapConfig.js,
Cocolon,lib/iap/iapService.js,lib,iap,client_service,874,4,lib/subscriptionApi.js | lib/supabase.ts | lib/iap/iapConfig.js | lib/iap/iapRuntimeCatalog.js,
Cocolon,lib/iap/index.js,lib,iap,client_service,10,0,,
Cocolon,lib/inputDraftStorage.js,lib,service_lib,client_service,142,0,,
Cocolon,lib/nexusApi.js,lib,service_lib,client_service,51,1,lib/apiClient.js,
Cocolon,lib/noticeActionRuntime.js,lib,service_lib,client_service,139,0,,
Cocolon,lib/noticeApi.js,lib,service_lib,client_service,30,1,lib/apiClient.js,/notices/popup-seen | /notices/read
Cocolon,lib/pushToken.js,lib,service_lib,client_service,195,1,lib/supabase.ts,
Cocolon,lib/reportDistributionApi.js,lib,service_lib,client_service,21,1,lib/apiClient.js,/report-distribution/settings
Cocolon,lib/subscriptionApi.js,lib,service_lib,client_service,14,1,lib/apiClient.js,/subscription/bootstrap | /subscription/me | /subscription/update
Cocolon,lib/supabase.ts,lib,service_lib,client_service,38,0,,
Cocolon,lib/todayQuestionApi.js,lib,service_lib,client_service,50,1,lib/apiClient.js,/today-question/answers | /today-question/settings
Cocolon,lib/user.ts,lib,service_lib,client_service,21,1,lib/supabase.ts,
Cocolon,libs_list.txt,support,text_support,,,0,,
Cocolon,metro.config.js,support,config,,17,0,,
Cocolon,patches/@react-native-community+blur+4.4.1.patch,support,patch_archive,,,0,,
Cocolon,patches/@react-native-community+slider+5.0.1.patch,support,patch_archive,,,0,,
Cocolon,patches/_react-native-svg+14.1.0.patch.archive,support,patch_archive,,,0,,
Cocolon,patches/_react-native-webview+13.6.3.patch.hold,support,patch_archive,,,0,,
Cocolon,patches/react-native-linear-gradient+2.6.2.patch.bak,support,patch_archive,,,0,,
Cocolon,patches/react-native-reanimated+3.6.0.patch.disabled,support,patch_archive,,,0,,
Cocolon,patches/react-native-svg+13.14.0.patch,support,patch_archive,,,0,,
Cocolon,patches/react-native-vector-icons+10.3.0.patch,support,patch_archive,,,0,,
Cocolon,react-native.config.js,support,config,,4,0,,
Cocolon,screens/AccountScreen.js,screen,screen,account_settings,2325,10,AuthContext.js | components/CocolonBackButton.js | components/CocolonPressable.js | lib/apiClient.js | lib/iap/iapConfig.js | lib/iap/iapService.js | lib/supabase.ts | theme/ThemeContext.js | ui/applyTypographyTokens.js | ui/uiTokens.js,/account/profile/me | /myprofile/follow | /myprofile/unfollow
Cocolon,screens/CocolonGuideScreen.js,screen,screen,,291,8,components/CocolonBackButton.js | components/GuideRichText.js | components/GuideTermModal.js | guide/guidesJa.js | guide/termsJa.js | theme/ThemeContext.js | ui/applyTypographyTokens.js | ui/uiTokens.js,
Cocolon,screens/DeepInsightScreen.js,screen,screen,analysis_myweb,1025,5,lib/apiClient.js | lib/supabase.ts | theme/ThemeContext.js | ui/applyTypographyTokens.js | ui/uiTokens.js,
Cocolon,screens/DiscoveriesHistoryDetailScreen.js,screen,screen,,104,3,components/CocolonBackButton.js | theme/ThemeContext.js | ui/uiTokens.js,
Cocolon,screens/DiscoveriesHistoryListScreen.js,screen,screen,,104,3,components/CocolonBackButton.js | theme/ThemeContext.js | ui/uiTokens.js,
Cocolon,screens/EchoesHistoryDetailScreen.js,screen,screen,,183,3,components/CocolonBackButton.js | theme/ThemeContext.js | ui/uiTokens.js,
Cocolon,screens/EchoesHistoryListScreen.js,screen,screen,,526,8,SubscriptionContext.js | components/CocolonBackButton.js | components/CocolonPressable.js | lib/apiClient.js | lib/historyRetentionLabel.js | lib/supabase.ts | theme/ThemeContext.js | ui/uiTokens.js,
Cocolon,screens/EmotionLogScreen.js,screen,screen,emotionlog_social,1472,9,TutorialContext.js | UnreadContext.js | components/CocolonPressable.js | components/TutorialOverlay.js | lib/apiClient.js | lib/supabase.ts | theme/ThemeContext.js | ui/applyTypographyTokens.js | ui/uiTokens.js,
Cocolon,screens/EmotionRankingScreen.js,screen,screen,,396,6,components/CocolonBackButton.js | lib/apiClient.js | lib/supabase.ts | theme/ThemeContext.js | ui/applyTypographyTokens.js | ui/uiTokens.js,/ranking/emotions
Cocolon,screens/FollowListScreen.js,screen,screen,emotionlog_social,1284,6,AuthContext.js | lib/apiClient.js | lib/supabase.ts | theme/ThemeContext.js | ui/applyTypographyTokens.js | ui/uiTokens.js,/myprofile/follow-requests/approve | /myprofile/follow-requests/reject
Cocolon,screens/InputCountRankingScreen.js,screen,screen,input_home,445,6,components/CocolonBackButton.js | lib/apiClient.js | lib/supabase.ts | theme/ThemeContext.js | ui/applyTypographyTokens.js | ui/uiTokens.js,/ranking/input_count
Cocolon,screens/InputLengthRankingScreen.js,screen,screen,input_home,444,6,components/CocolonBackButton.js | lib/apiClient.js | lib/supabase.ts | theme/ThemeContext.js | ui/applyTypographyTokens.js | ui/uiTokens.js,/ranking/input_length
Cocolon,screens/InputScreen.js,screen,screen,input_home,3995,21,AuthContext.js | TutorialContext.js | UnreadContext.js | components/CocolonButton.js | components/CocolonPressable.js | components/CocolonSwitch.js | components/EmotionReflectionPreviewModal.js | components/NoticeModal.js | components/TodayQuestionCard.js | components/TodayQuestionModal.js | components/TutorialOverlay.js | components/TutorialStartModal.js,/emotion/submit | /global_summary | /input/summary
Cocolon,screens/LoginStreakRankingScreen.js,screen,screen,,502,6,components/CocolonBackButton.js | lib/apiClient.js | lib/supabase.ts | theme/ThemeContext.js | ui/applyTypographyTokens.js | ui/uiTokens.js,/ranking/login_streak
Cocolon,screens/MenuActionCardCommon.js,screen,screen,,180,5,components/CocolonButton.js | components/UnreadBadge.js | theme/ThemeContext.js | ui/applyTypographyTokens.js | ui/uiTokens.js,
