repo,path,kind,category,systems,lines,local_import_count,local_imports,routes
mashos-api,ai/.env,support,support_config,,,0,,
mashos-api,ai/Makefile,support,support_config,,,0,,
mashos-api,ai/POST_MIGRATION_CHECKLIST.md,support,support_config,,,0,,
mashos-api,ai/README_MIGRATION_QUICKSTART.md,support,support_config,,,0,,
mashos-api,ai/configs/app_ids.yaml,support,config,,,0,,
mashos-api,ai/configs/model_train.yaml,support,config,,,0,,
mashos-api,ai/configs/runtime.yaml,support,config,,,0,,
mashos-api,ai/data/config/astor_structure_dict.json,support,data,national_system,,0,,
mashos-api,ai/data/config/deep_insight_questions.json,support,data,,,0,,
mashos-api,ai/data/processed/features.json,support,data,,,0,,
mashos-api,ai/data/processed/structure_dictionary.json,support,data,,,0,,
mashos-api,ai/data/processed/summary.txt,support,data,,,0,,
mashos-api,ai/data/raw/README_ingest.txt,support,data,,,0,,
mashos-api,ai/data/raw/import_template.csv,support,data,,,0,,
mashos-api,ai/data/raw/logs.jsonl,support,data,,,0,,
mashos-api,ai/data/raw/schema.json,support,data,,,0,,
mashos-api,ai/data/raw/template.csv,support,data,,,0,,
mashos-api,ai/data/raw/template.json,support,data,,,0,,
mashos-api,ai/data/train/{{AI_NAME}}_interpret_train.jsonl,support,data,,,0,,
mashos-api,ai/docs/API_CONTRACT_POLICY.md,support,repo_doc,api_contract,,0,,
mashos-api,ai/docs/NATIONAL_ALIGNMENT_AUDIT_PHASE5.md,support,repo_doc,,,0,,
mashos-api,ai/docs/PUBLIC_API_REGISTRY.md,support,repo_doc,api_contract,,0,,
mashos-api,ai/docs/TUTORIAL_STABILITY_REDESIGN.md,support,repo_doc,,,0,,
mashos-api,ai/docs/api_contract.txt,support,repo_doc,api_contract,,0,,
mashos-api,ai/docs/data_ingest_guide.txt,support,repo_doc,,,0,,
mashos-api,ai/docs/iap_subscription_update.md,support,repo_doc,account_settings,,0,,
mashos-api,ai/docs/{{AI_NAME}}_spec.txt,support,repo_doc,,,0,,
mashos-api,ai/ingestion/mapping_sample.yaml,other,other,,,0,,
mashos-api,ai/ingestion/user_logs_sample.csv,other,other,,,0,,
mashos-api,ai/services/ai_inference/.env.subscription.backend.example,service,service_store_governance,account_settings,,0,,
mashos-api,ai/services/ai_inference/__pycache__/active_users_store.cpython-313.pyc,support,compiled,,,0,,
mashos-api,ai/services/ai_inference/__pycache__/api_emotion_submit.cpython-313.pyc,support,compiled,,,0,,
mashos-api,ai/services/ai_inference/__pycache__/astor_account_status_enqueue.cpython-313.pyc,support,compiled,account_settings|national_system,,0,,
mashos-api,ai/services/ai_inference/__pycache__/astor_core.cpython-313.pyc,support,compiled,national_system,,0,,
mashos-api,ai/services/ai_inference/__pycache__/astor_deep_insight.cpython-313.pyc,support,compiled,national_system,,0,,
mashos-api,ai/services/ai_inference/__pycache__/astor_deep_insight_question_store.cpython-313.pyc,support,compiled,national_system,,0,,
mashos-api,ai/services/ai_inference/__pycache__/astor_deep_insight_store.cpython-313.pyc,support,compiled,national_system,,0,,
mashos-api,ai/services/ai_inference/__pycache__/astor_friend_feed_enqueue.cpython-313.pyc,support,compiled,emotionlog_social|national_system,,0,,
mashos-api,ai/services/ai_inference/__pycache__/astor_global_summary_enqueue.cpython-313.pyc,support,compiled,national_system,,0,,
mashos-api,ai/services/ai_inference/__pycache__/astor_global_summary_store.cpython-313.pyc,support,compiled,national_system,,0,,
mashos-api,ai/services/ai_inference/__pycache__/astor_myweb_insight.cpython-313.pyc,support,compiled,analysis_myweb|national_system,,0,,
mashos-api,ai/services/ai_inference/__pycache__/astor_patterns.cpython-313.pyc,support,compiled,national_system,,0,,
mashos-api,ai/services/ai_inference/__pycache__/astor_ranking_enqueue.cpython-313.pyc,support,compiled,national_system|ranking,,0,,
mashos-api,ai/services/ai_inference/__pycache__/astor_structure_matcher.cpython-313.pyc,support,compiled,national_system,,0,,
mashos-api,ai/services/ai_inference/__pycache__/client_compat.cpython-313.pyc,support,compiled,,,0,,
mashos-api,ai/services/ai_inference/__pycache__/deep_insight_strategy.cpython-313.pyc,support,compiled,,,0,,
mashos-api,ai/services/ai_inference/__pycache__/subscription.cpython-313.pyc,support,compiled,account_settings,,0,,
mashos-api,ai/services/ai_inference/__pycache__/subscription_store.cpython-313.pyc,support,compiled,account_settings,,0,,
mashos-api,ai/services/ai_inference/__pycache__/supabase_client.cpython-313.pyc,support,compiled,,,0,,
mashos-api,ai/services/ai_inference/_samples/lora_load_example.py,service,service_store_governance,,35,0,,
mashos-api,ai/services/ai_inference/account_delete_service.py,service,service_store_governance,account_settings,676,7,ai/services/ai_inference/astor_friend_feed_enqueue.py | ai/services/ai_inference/astor_global_summary_enqueue.py | ai/services/ai_inference/astor_ranking_enqueue.py | ai/services/ai_inference/response_microcache.py | ai/services/ai_inference/startup_snapshot_store.py | ai/services/ai_inference/supabase_client.py | ai/services/ai_inference/today_question_store.py,
mashos-api,ai/services/ai_inference/active_users_store.py,service,service_store_governance,,240,3,ai/services/ai_inference/subscription.py | ai/services/ai_inference/subscription_store.py | ai/services/ai_inference/supabase_client.py,
mashos-api,ai/services/ai_inference/analysis_engine_adapter.py,service,service_store_governance,,523,0,,
mashos-api,ai/services/ai_inference/api_account_lifecycle.py,api,route,account_settings,329,3,ai/services/ai_inference/account_delete_service.py | ai/services/ai_inference/api_account_visibility.py | ai/services/ai_inference/supabase_client.py,GET /account/display-name/availability | GET /account/profile/me | PATCH /account/profile/me | POST /account/delete
mashos-api,ai/services/ai_inference/api_account_status.py,api,route,account_settings,330,3,ai/services/ai_inference/api_emotion_submit.py | ai/services/ai_inference/astor_account_status_store.py | ai/services/ai_inference/supabase_client.py,GET /account/status
mashos-api,ai/services/ai_inference/api_account_visibility.py,api,route,account_settings,370,2,ai/services/ai_inference/api_emotion_submit.py | ai/services/ai_inference/astor_ranking_enqueue.py,GET /account/visibility/me | PATCH /account/visibility/me | GET /account/profile
mashos-api,ai/services/ai_inference/api_activity_login.py,api,route,,167,3,ai/services/ai_inference/api_emotion_submit.py | ai/services/ai_inference/astor_account_status_enqueue.py | ai/services/ai_inference/astor_ranking_enqueue.py,POST /activity/login
mashos-api,ai/services/ai_inference/api_app_bootstrap.py,api,route,startup_bootstrap,158,3,ai/services/ai_inference/api_emotion_submit.py | ai/services/ai_inference/client_compat.py | ai/services/ai_inference/startup_snapshot_store.py,GET /app/bootstrap | GET /app/startup
mashos-api,ai/services/ai_inference/api_contract_registry.py,api,route,api_contract,161,0,,
mashos-api,ai/services/ai_inference/api_cron_distribution.py,api,route,,2622,11,ai/services/ai_inference/api_emotion_submit.py | ai/services/ai_inference/api_myweb_reports.py | ai/services/ai_inference/astor_myprofile_report.py | ai/services/ai_inference/cron_run_store.py | ai/services/ai_inference/generation_lock.py | ai/services/ai_inference/observability.py | ai/services/ai_inference/publish_governance.py | ai/services/ai_inference/report_distribution_push_store.py | ai/services/ai_inference/report_distribution_settings_store.py | ai/services/ai_inference/subscription.py | ai/services/ai_inference/subscription_store.py,POST /cron/myweb/daily | POST /cron/myweb/weekly | POST /cron/myweb/monthly | POST /cron/myprofile/monthly | POST /cron/report-distribution/push
mashos-api,ai/services/ai_inference/api_deep_insight.py,api,route,,506,13,ai/services/ai_inference/active_users_store.py | ai/services/ai_inference/api_emotion_submit.py | ai/services/ai_inference/astor_account_status_enqueue.py | ai/services/ai_inference/astor_core.py | ai/services/ai_inference/astor_deep_insight.py | ai/services/ai_inference/astor_deep_insight_question_store.py | ai/services/ai_inference/astor_deep_insight_store.py | ai/services/ai_inference/astor_ranking_enqueue.py | ai/services/ai_inference/astor_snapshot_enqueue.py | ai/services/ai_inference/deep_insight_strategy.py | ai/services/ai_inference/subscription.py | ai/services/ai_inference/subscription_store.py,GET /deep_insight/questions | POST /deep_insight/answers
mashos-api,ai/services/ai_inference/api_emotion_history_manage.py,api,route,,73,3,ai/services/ai_inference/api_account_visibility.py | ai/services/ai_inference/astor_global_summary_enqueue.py | ai/services/ai_inference/supabase_client.py,DELETE /emotion/history/{emotion_id}
mashos-api,ai/services/ai_inference/api_emotion_history_search.py,api,route,,520,4,ai/services/ai_inference/api_emotion_submit.py | ai/services/ai_inference/publish_governance.py | ai/services/ai_inference/subscription.py | ai/services/ai_inference/subscription_store.py,POST /emotion/history/search | GET /emotion/history/search
mashos-api,ai/services/ai_inference/api_emotion_reflection.py,api,route,input_home|nexus_piece,265,7,ai/services/ai_inference/api_emotion_submit.py | ai/services/ai_inference/client_compat.py | ai/services/ai_inference/emotion_reflection_generation_service.py | ai/services/ai_inference/emotion_reflection_store.py | ai/services/ai_inference/emotion_submit_service.py | ai/services/ai_inference/reflection_publish_entitlements.py | ai/services/ai_inference/subscription.py,GET /emotion/reflection/quota | POST /emotion/reflection/preview | POST /emotion/reflection/publish | POST /emotion/reflection/cancel
mashos-api,ai/services/ai_inference/api_emotion_secret.py,api,route,input_home,208,2,ai/services/ai_inference/api_emotion_submit.py | ai/services/ai_inference/astor_job_queue.py,POST /emotion/secret
mashos-api,ai/services/ai_inference/api_emotion_submit.py,api,route,input_home,2034,16,ai/services/ai_inference/astor_account_status_enqueue.py | ai/services/ai_inference/astor_core.py | ai/services/ai_inference/astor_friend_feed_enqueue.py | ai/services/ai_inference/astor_global_summary_enqueue.py | ai/services/ai_inference/astor_job_queue.py | ai/services/ai_inference/astor_myprofile_report.py | ai/services/ai_inference/astor_ranking_enqueue.py | ai/services/ai_inference/astor_snapshot_enqueue.py | ai/services/ai_inference/client_compat.py | ai/services/ai_inference/generation_lock.py | ai/services/ai_inference/input_feedback_text_templates.py | ai/services/ai_inference/response_microcache.py,POST /emotion/submit
mashos-api,ai/services/ai_inference/api_friends.py,api,route,emotionlog_social,1552,4,ai/services/ai_inference/api_emotion_submit.py | ai/services/ai_inference/astor_friend_feed_store.py | ai/services/ai_inference/response_microcache.py | ai/services/ai_inference/supabase_client.py,POST /friends/request | POST /friends/requests/{request_id}/accept | POST /friends/requests/{request_id}/reject | POST /friends/requests/{request_id}/cancel | POST /friends/remove | GET /emotion-log/feed | GET /friends/feed | GET /friends/manage | GET /emotion-log/unread-status | GET /friends/unread-status | POST /emotion-log/unread/read-feed | POST /friends/unread/read-feed | POST /emotion-log/unread/read-requests | POST /friends/unread/read-requests | GET /emotion-notifications/settings | GET /friends/notification-settings | POST /emotion-notifications/settings/{friend_user_id} | POST /friends/notification-settings/{friend_user_id}
mashos-api,ai/services/ai_inference/api_global_summary.py,api,route,input_home,526,4,ai/services/ai_inference/astor_global_summary_enqueue.py | ai/services/ai_inference/astor_global_summary_kernel.py | ai/services/ai_inference/astor_global_summary_store.py | ai/services/ai_inference/response_microcache.py,GET /global_summary
mashos-api,ai/services/ai_inference/api_input_summary.py,api,route,input_home,360,3,ai/services/ai_inference/api_emotion_submit.py | ai/services/ai_inference/response_microcache.py | ai/services/ai_inference/supabase_client.py,GET /input/summary
mashos-api,ai/services/ai_inference/api_mymodel_create.py,api,route,nexus_piece,823,9,ai/services/ai_inference/active_users_store.py | ai/services/ai_inference/api_emotion_submit.py | ai/services/ai_inference/astor_account_status_enqueue.py | ai/services/ai_inference/astor_snapshot_enqueue.py | ai/services/ai_inference/mymodel_entitlements.py | ai/services/ai_inference/reflection_text_formatter.py | ai/services/ai_inference/subscription.py | ai/services/ai_inference/subscription_store.py | ai/services/ai_inference/supabase_client.py,GET /mymodel/create/questions | GET /account/profile-create | POST /mymodel/create/answers
mashos-api,ai/services/ai_inference/api_mymodel_qna.py,api,route,nexus_piece,5476,14,ai/services/ai_inference/api_emotion_submit.py | ai/services/ai_inference/api_mymodel_create.py | ai/services/ai_inference/astor_account_status_enqueue.py | ai/services/ai_inference/astor_global_summary_enqueue.py | ai/services/ai_inference/astor_ranking_enqueue.py | ai/services/ai_inference/astor_snapshot_enqueue.py | ai/services/ai_inference/generated_reflection_display.py | ai/services/ai_inference/generated_reflection_identity.py | ai/services/ai_inference/mymodel_entitlements.py | ai/services/ai_inference/publish_governance.py | ai/services/ai_inference/reflection_text_formatter.py | ai/services/ai_inference/subscription.py,GET /mymodel/qna/list | GET /mymodel/qna/unread | GET /mymodel/qna/trending | GET /mymodel/qna/holders | GET /mymodel/recommend/users | GET /mymodel/qna/detail | POST /mymodel/qna/view | POST /mymodel/qna/resonance | GET /mymodel/qna/echoes/reflections | POST /mymodel/qna/echoes/submit | POST /mymodel/qna/echoes/delete | GET /mymodel/qna/echoes/history | GET /mymodel/qna/discoveries/reflections | POST /mymodel/qna/discoveries/submit | POST /mymodel/qna/discoveries/delete | GET /mymodel/qna/discoveries/history | GET /mymodel/qna/list | GET /mymodel/qna/unread | GET /mymodel/qna/unread-status | GET /mymodel/qna/detail | POST /mymodel/qna/view | POST /mymodel/qna/resonance | GET /mymodel/qna/echoes/reflections | POST /mymodel/qna/echoes/submit | POST /mymodel/qna/echoes/delete | GET /mymodel/qna/echoes/history | GET /mymodel/qna/discoveries/reflections | POST /mymodel/qna/discoveries/submit | POST /mymodel/qna/discoveries/delete | GET /mymodel/qna/discoveries/history
